State,Division,District,District Code,,
Admin,TEST,TEST1,TS01,,
Admin,Udaan,Udaan,UD01,,
Admin,Udaan,Vendor,UD02,,
Admin,Udaan,Temp1,UD03,,
Admin,Udaan,Temp2,UD04,,
Admin,Udaan,Temp3,UD05,,
Andaman and Nicobar,Andaman and Nicobar,Nicobar ,AN02,,
Andaman and Nicobar,Andaman and Nicobar,North and Middle Andaman ,AN03,,
Andaman and Nicobar,Andaman and Nicobar,South Andaman ,AN01,,
Andhra Pradesh,Andhra Pradesh,Anantapur ,AP02 ,,
Andhra Pradesh,Andhra Pradesh,Chittoor ,AP03 ,,
Andhra Pradesh,Andhra Pradesh,East Godavari ,AP05 ,,
Andhra Pradesh,Andhra Pradesh,Guntur ,AP07 ,,
Andhra Pradesh,Andhra Pradesh,Kadapa ,AP04,,
Andhra Pradesh,Andhra Pradesh,Krishna ,AP16 ,,
Andhra Pradesh,Andhra Pradesh,Kurnool ,AP21 ,,
Andhra Pradesh,Andhra Pradesh,Prakasam ,AP27 ,,
Andhra Pradesh,Andhra Pradesh,Sri Potti Sriramulu Nellore ,AP26,,
Andhra Pradesh,Andhra Pradesh,Srikakulam ,AP30 ,,
Andhra Pradesh,Andhra Pradesh,Visakhapatnam ,AP31 ,,
Andhra Pradesh,Andhra Pradesh,Vizianagaram ,AP35 ,,
Andhra Pradesh,Andhra Pradesh,West Godavari ,AP37 ,,
Arunachal Pradesh,Arunachal Pradesh,Anjaw ,AR17,,
Arunachal Pradesh,Arunachal Pradesh,Changlang ,AR12 ,,
Arunachal Pradesh,Arunachal Pradesh,Dibang Valley ,AR10 ,,
Arunachal Pradesh,Arunachal Pradesh,East Kameng ,AR05 ,,
Arunachal Pradesh,Arunachal Pradesh,East Siang ,AR09 ,,
Arunachal Pradesh,Arunachal Pradesh,Kra Daadi ,AR18,,
Arunachal Pradesh,Arunachal Pradesh,Kurung Kumey ,AR15 ,,
Arunachal Pradesh,Arunachal Pradesh,Lohit ,AR11 ,,
Arunachal Pradesh,Arunachal Pradesh,Longding ,AR19,,
Arunachal Pradesh,Arunachal Pradesh,Lower Dibang Valley ,AR20,,
Arunachal Pradesh,Arunachal Pradesh,Lower Subansiri ,AR06 ,,
Arunachal Pradesh,Arunachal Pradesh,Namsai ,AR21,,
Arunachal Pradesh,Arunachal Pradesh,Papum Pare ,AR22,,
Arunachal Pradesh,Arunachal Pradesh,Tawang ,AR03 ,,
Arunachal Pradesh,Arunachal Pradesh,Tirap ,AR13 ,,
Arunachal Pradesh,Arunachal Pradesh,Upper Siang ,AR14 ,,
Arunachal Pradesh,Arunachal Pradesh,Upper Subansiri ,AR07 ,,
Arunachal Pradesh,Arunachal Pradesh,West Kameng ,AR04 ,,
Arunachal Pradesh,Arunachal Pradesh,West Siang ,AR08 ,,
Assam,Assam,Baksa ,AS28 ,,
Assam,Assam,Barpeta ,AS15 ,,
Assam,Assam,Bongaigaon ,AS19 ,,
Assam,Assam,Cachar ,AS11 ,,
Assam,Assam,Chirang ,AS26 ,,
Assam,Assam,Darrang ,AS13 ,,
Assam,Assam,Dhemaji ,AS22 ,,
Assam,Assam,Dhubri ,AS17 ,,
Assam,Assam,Dibrugarh ,AS06 ,,
Assam,Assam,Dima Hasao ,AS08 ,,
Assam,Assam,Goalpara ,AS18 ,,
Assam,Assam,Golaghat ,AS05 ,,
Assam,Assam,Hailakandi ,AS24 ,,
Assam,Assam,Jorhat ,AS03 ,,
Assam,Assam,Kamrup ,AS25 ,,
Assam,Assam,Kamrup Metropolitan ,AS01 ,,
Assam,Assam,Karbi Anglong ,AS09 ,,
Assam,Assam,Karimganj ,AS10 ,,
Assam,Assam,Kokrajhar ,AS16 ,,
Assam,Assam,Lakhimpur ,AS07 ,,
Assam,Assam,Morigaon ,AS21 ,,
Assam,Assam,Nagaon ,AS02 ,,
Assam,Assam,Nalbari ,AS14 ,,
Assam,Assam,Sivasagar ,AS04 ,,
Assam,Assam,Sonitpur ,AS12 ,,
Assam,Assam,Tinsukia ,AS23 ,,
Assam,Assam,Udalguri ,AS27 ,,
Bihar,Bihar,Araria ,BR38 ,,
Bihar,Bihar,Arwal ,BR56 ,,
Bihar,Bihar,Aurangabad ,BR26 ,,
Bihar,Bihar,Banka ,BR51 ,,
Bihar,Bihar,Begusarai ,BR09 ,,
Bihar,Bihar,Bhagalpur ,BR10 ,,
Bihar,Bihar,Bhojpur ,BR03 ,,
Bihar,Bihar,Buxar ,BR44 ,,
Bihar,Bihar,Darbhanga ,BR07 ,,
Bihar,Bihar,East Champaran ,BR05 ,,
Bihar,Bihar,Gaya ,BR02 ,,
Bihar,Bihar,Gopalganj ,BR28 ,,
Bihar,Bihar,Jamui ,BR46 ,,
Bihar,Bihar,Jehanabad ,BR25 ,,
Bihar,Bihar,Kaimur ,BR45 ,,
Bihar,Bihar,Katihar ,BR39 ,,
Bihar,Bihar,Khagaria ,BR34 ,,
Bihar,Bihar,Kishanganj ,BR37 ,,
Bihar,Bihar,Lakhisarai ,BR53 ,,
Bihar,Bihar,Madhepura ,BR43 ,,
Bihar,Bihar,Madhubani ,BR32 ,,
Bihar,Bihar,Munger ,BR08 ,,
Bihar,Bihar,Muzaffarpur ,BR06 ,,
Bihar,Bihar,Nalanda ,BR21 ,,
Bihar,Bihar,Nawada ,BR27 ,,
Bihar,Bihar,Patna ,BR01 ,,
Bihar,Bihar,Purnia ,BR11 ,,
Bihar,Bihar,Rohtas ,BR57 ,,
Bihar,Bihar,Saharsa ,BR19 ,,
Bihar,Bihar,Samastipur ,BR33 ,,
Bihar,Bihar,Saran ,BR04 ,,
Bihar,Bihar,Sheikhpura ,BR52 ,,
Bihar,Bihar,Sheohar ,BR55 ,,
Bihar,Bihar,Sitamarhi ,BR30 ,,
Bihar,Bihar,Siwan ,BR29 ,,
Bihar,Bihar,Supaul ,BR50 ,,
Bihar,Bihar,Vaishali ,BR31,,
Bihar,Bihar,West Champaran ,BR22 ,,
Chandigarh ,Chandigarh ,Chandigarh ,CH01,,
Chhattisgarh,Chhattisgarh,Balod ,CG24 ,,
Chhattisgarh,Chhattisgarh,Baloda Bazar ,CG22 ,,
Chhattisgarh,Chhattisgarh,Balrampur ,CG30 ,,
Chhattisgarh,Chhattisgarh,Bastar ,CG17 ,,
Chhattisgarh,Chhattisgarh,Bemetara ,CG25 ,,
Chhattisgarh,Chhattisgarh,Bijapur ,CG20 ,,
Chhattisgarh,Chhattisgarh,Bilaspur ,CG10 ,,
Chhattisgarh,Chhattisgarh,Dantewada ,CG18 ,,
Chhattisgarh,Chhattisgarh,Dhamtari ,CG05 ,,
Chhattisgarh,Chhattisgarh,Durg ,CG07 ,,
Chhattisgarh,Chhattisgarh,Gariaband ,CG23 ,,
Chhattisgarh,Chhattisgarh,JanjgirChampa ,CG11 ,,
Chhattisgarh,Chhattisgarh,Jashpur ,CG14 ,,
Chhattisgarh,Chhattisgarh,Kabirdham,CG09 ,,
Chhattisgarh,Chhattisgarh,Kanker ,CG19 ,,
Chhattisgarh,Chhattisgarh,Kondagaon ,CG27 ,,
